"id","name","species","class","proj","auc","boyce","threshold","scenario","timestep","sum"
1,"amphibians-Litoria_spenceri-GCM_Ensembles_ssp126_2030","Litoria_spenceri","amphibians","GCM-Ensembles_ssp126_2030",0.9958,0.954,0.0431,"ssp126",2030,2150
2,"amphibians-Litoria_spenceri-GCM_Ensembles_ssp126_2050","Litoria_spenceri","amphibians","GCM-Ensembles_ssp126_2050",0.9958,0.954,0.0431,"ssp126",2050,1879
3,"amphibians-Litoria_spenceri-GCM_Ensembles_ssp126_2070","Litoria_spenceri","amphibians","GCM-Ensembles_ssp126_2070",0.9958,0.954,0.0431,"ssp126",2070,1852
4,"amphibians-Litoria_spenceri-GCM_Ensembles_ssp126_2090","Litoria_spenceri","amphibians","GCM-Ensembles_ssp126_2090",0.9958,0.954,0.0431,"ssp126",2090,1902
5,"amphibians-Litoria_spenceri-GCM_Ensembles_ssp245_2030","Litoria_spenceri","amphibians","GCM-Ensembles_ssp245_2030",0.9958,0.954,0.0431,"ssp245",2030,2156
6,"amphibians-Litoria_spenceri-GCM_Ensembles_ssp245_2050","Litoria_spenceri","amphibians","GCM-Ensembles_ssp245_2050",0.9958,0.954,0.0431,"ssp245",2050,1807
7,"amphibians-Litoria_spenceri-GCM_Ensembles_ssp245_2070","Litoria_spenceri","amphibians","GCM-Ensembles_ssp245_2070",0.9958,0.954,0.0431,"ssp245",2070,1613
8,"amphibians-Litoria_spenceri-GCM_Ensembles_ssp245_2090","Litoria_spenceri","amphibians","GCM-Ensembles_ssp245_2090",0.9958,0.954,0.0431,"ssp245",2090,1532
9,"amphibians-Litoria_spenceri-GCM_Ensembles_ssp370_2030","Litoria_spenceri","amphibians","GCM-Ensembles_ssp370_2030",0.9958,0.954,0.0431,"ssp370",2030,2133
10,"amphibians-Litoria_spenceri-GCM_Ensembles_ssp370_2050","Litoria_spenceri","amphibians","GCM-Ensembles_ssp370_2050",0.9958,0.954,0.0431,"ssp370",2050,1735
11,"amphibians-Litoria_spenceri-GCM_Ensembles_ssp370_2070","Litoria_spenceri","amphibians","GCM-Ensembles_ssp370_2070",0.9958,0.954,0.0431,"ssp370",2070,1338
12,"amphibians-Litoria_spenceri-GCM_Ensembles_ssp370_2090","Litoria_spenceri","amphibians","GCM-Ensembles_ssp370_2090",0.9958,0.954,0.0431,"ssp370",2090,919
13,"amphibians-Litoria_spenceri-GCM_Ensembles_ssp585_2030","Litoria_spenceri","amphibians","GCM-Ensembles_ssp585_2030",0.9958,0.954,0.0431,"ssp585",2030,2115
14,"amphibians-Litoria_spenceri-GCM_Ensembles_ssp585_2050","Litoria_spenceri","amphibians","GCM-Ensembles_ssp585_2050",0.9958,0.954,0.0431,"ssp585",2050,1577
15,"amphibians-Litoria_spenceri-GCM_Ensembles_ssp585_2070","Litoria_spenceri","amphibians","GCM-Ensembles_ssp585_2070",0.9958,0.954,0.0431,"ssp585",2070,1132
16,"amphibians-Litoria_spenceri-GCM_Ensembles_ssp585_2090","Litoria_spenceri","amphibians","GCM-Ensembles_ssp585_2090",0.9958,0.954,0.0431,"ssp585",2090,612
17,"amphibians-Litoria_spenceri-historic_baseline_1990","Litoria_spenceri","amphibians","historic_baseline_1990",0.9958,0.954,0.0431,"historic_baseline",1990,2738
18,"amphibians-Mixophyes_balbus-GCM_Ensembles_ssp126_2030","Mixophyes_balbus","amphibians","GCM-Ensembles_ssp126_2030",0.9656,0.982,0.1567,"ssp126",2030,3953
19,"amphibians-Mixophyes_balbus-GCM_Ensembles_ssp126_2050","Mixophyes_balbus","amphibians","GCM-Ensembles_ssp126_2050",0.9656,0.982,0.1567,"ssp126",2050,3855
20,"amphibians-Mixophyes_balbus-GCM_Ensembles_ssp126_2070","Mixophyes_balbus","amphibians","GCM-Ensembles_ssp126_2070",0.9656,0.982,0.1567,"ssp126",2070,3785
21,"amphibians-Mixophyes_balbus-GCM_Ensembles_ssp126_2090","Mixophyes_balbus","amphibians","GCM-Ensembles_ssp126_2090",0.9656,0.982,0.1567,"ssp126",2090,3804
22,"amphibians-Mixophyes_balbus-GCM_Ensembles_ssp245_2030","Mixophyes_balbus","amphibians","GCM-Ensembles_ssp245_2030",0.9656,0.982,0.1567,"ssp245",2030,3973
23,"amphibians-Mixophyes_balbus-GCM_Ensembles_ssp245_2050","Mixophyes_balbus","amphibians","GCM-Ensembles_ssp245_2050",0.9656,0.982,0.1567,"ssp245",2050,3782
24,"amphibians-Mixophyes_balbus-GCM_Ensembles_ssp245_2070","Mixophyes_balbus","amphibians","GCM-Ensembles_ssp245_2070",0.9656,0.982,0.1567,"ssp245",2070,3611
25,"amphibians-Mixophyes_balbus-GCM_Ensembles_ssp245_2090","Mixophyes_balbus","amphibians","GCM-Ensembles_ssp245_2090",0.9656,0.982,0.1567,"ssp245",2090,3549
26,"amphibians-Mixophyes_balbus-GCM_Ensembles_ssp370_2030","Mixophyes_balbus","amphibians","GCM-Ensembles_ssp370_2030",0.9656,0.982,0.1567,"ssp370",2030,3938
27,"amphibians-Mixophyes_balbus-GCM_Ensembles_ssp370_2050","Mixophyes_balbus","amphibians","GCM-Ensembles_ssp370_2050",0.9656,0.982,0.1567,"ssp370",2050,3746
28,"amphibians-Mixophyes_balbus-GCM_Ensembles_ssp370_2070","Mixophyes_balbus","amphibians","GCM-Ensembles_ssp370_2070",0.9656,0.982,0.1567,"ssp370",2070,3438
29,"amphibians-Mixophyes_balbus-GCM_Ensembles_ssp370_2090","Mixophyes_balbus","amphibians","GCM-Ensembles_ssp370_2090",0.9656,0.982,0.1567,"ssp370",2090,3031
30,"amphibians-Mixophyes_balbus-GCM_Ensembles_ssp585_2030","Mixophyes_balbus","amphibians","GCM-Ensembles_ssp585_2030",0.9656,0.982,0.1567,"ssp585",2030,3933
31,"amphibians-Mixophyes_balbus-GCM_Ensembles_ssp585_2050","Mixophyes_balbus","amphibians","GCM-Ensembles_ssp585_2050",0.9656,0.982,0.1567,"ssp585",2050,3759
32,"amphibians-Mixophyes_balbus-GCM_Ensembles_ssp585_2070","Mixophyes_balbus","amphibians","GCM-Ensembles_ssp585_2070",0.9656,0.982,0.1567,"ssp585",2070,3279
33,"amphibians-Mixophyes_balbus-GCM_Ensembles_ssp585_2090","Mixophyes_balbus","amphibians","GCM-Ensembles_ssp585_2090",0.9656,0.982,0.1567,"ssp585",2090,2727
34,"amphibians-Mixophyes_balbus-historic_baseline_1990","Mixophyes_balbus","amphibians","historic_baseline_1990",0.9656,0.982,0.1567,"historic_baseline",1990,4142
35,"amphibians-Philoria_frosti-GCM_Ensembles_ssp126_2030","Philoria_frosti","amphibians","GCM-Ensembles_ssp126_2030",0.9989,0.837,0.0234,"ssp126",2030,392
36,"amphibians-Philoria_frosti-GCM_Ensembles_ssp126_2050","Philoria_frosti","amphibians","GCM-Ensembles_ssp126_2050",0.9989,0.837,0.0234,"ssp126",2050,288
37,"amphibians-Philoria_frosti-GCM_Ensembles_ssp126_2070","Philoria_frosti","amphibians","GCM-Ensembles_ssp126_2070",0.9989,0.837,0.0234,"ssp126",2070,247
38,"amphibians-Philoria_frosti-GCM_Ensembles_ssp126_2090","Philoria_frosti","amphibians","GCM-Ensembles_ssp126_2090",0.9989,0.837,0.0234,"ssp126",2090,326
39,"amphibians-Philoria_frosti-GCM_Ensembles_ssp245_2030","Philoria_frosti","amphibians","GCM-Ensembles_ssp245_2030",0.9989,0.837,0.0234,"ssp245",2030,448
40,"amphibians-Philoria_frosti-GCM_Ensembles_ssp245_2050","Philoria_frosti","amphibians","GCM-Ensembles_ssp245_2050",0.9989,0.837,0.0234,"ssp245",2050,286
41,"amphibians-Philoria_frosti-GCM_Ensembles_ssp245_2070","Philoria_frosti","amphibians","GCM-Ensembles_ssp245_2070",0.9989,0.837,0.0234,"ssp245",2070,147
42,"amphibians-Philoria_frosti-GCM_Ensembles_ssp245_2090","Philoria_frosti","amphibians","GCM-Ensembles_ssp245_2090",0.9989,0.837,0.0234,"ssp245",2090,111
43,"amphibians-Philoria_frosti-GCM_Ensembles_ssp370_2030","Philoria_frosti","amphibians","GCM-Ensembles_ssp370_2030",0.9989,0.837,0.0234,"ssp370",2030,436
44,"amphibians-Philoria_frosti-GCM_Ensembles_ssp370_2050","Philoria_frosti","amphibians","GCM-Ensembles_ssp370_2050",0.9989,0.837,0.0234,"ssp370",2050,206
45,"amphibians-Philoria_frosti-GCM_Ensembles_ssp370_2070","Philoria_frosti","amphibians","GCM-Ensembles_ssp370_2070",0.9989,0.837,0.0234,"ssp370",2070,75
46,"amphibians-Philoria_frosti-GCM_Ensembles_ssp370_2090","Philoria_frosti","amphibians","GCM-Ensembles_ssp370_2090",0.9989,0.837,0.0234,"ssp370",2090,38
47,"amphibians-Philoria_frosti-GCM_Ensembles_ssp585_2030","Philoria_frosti","amphibians","GCM-Ensembles_ssp585_2030",0.9989,0.837,0.0234,"ssp585",2030,309
48,"amphibians-Philoria_frosti-GCM_Ensembles_ssp585_2050","Philoria_frosti","amphibians","GCM-Ensembles_ssp585_2050",0.9989,0.837,0.0234,"ssp585",2050,150
49,"amphibians-Philoria_frosti-GCM_Ensembles_ssp585_2070","Philoria_frosti","amphibians","GCM-Ensembles_ssp585_2070",0.9989,0.837,0.0234,"ssp585",2070,48
50,"amphibians-Philoria_frosti-GCM_Ensembles_ssp585_2090","Philoria_frosti","amphibians","GCM-Ensembles_ssp585_2090",0.9989,0.837,0.0234,"ssp585",2090,20
51,"amphibians-Philoria_frosti-historic_baseline_1990","Philoria_frosti","amphibians","historic_baseline_1990",0.9989,0.837,0.0234,"historic_baseline",1990,759
